pulse_num,min_interval_ns,max_interval_ns,max_torelance_error_ns,consider_amp,max_amp_diff_ratio,max_amp_torelance_error,outdoor_wall_distance_m,outdoor_wall_reflectivity,spoofer_frequency_mhz,spoofer_pulse_width_ns,noise_ratio,ASR,Lost Point Rate
2,250,450,20,true,0.4,0.02,50.0,0.8,2.0,5,0.0,0.03366815476190477,0.0
2,250,450,20,true,0.4,0.02,50.0,0.8,2.0,5,0.02,0.12397693452380953,0.08947172619047616
2,250,450,20,true,0.4,0.02,50.0,0.8,2.0,5,0.04,0.357421875,0.32300967261904767
2,250,450,20,true,0.4,0.02,50.0,0.8,2.0,5,0.06,0.5074404761904762,0.4712611607142857
2,250,450,20,true,0.4,0.02,50.0,0.8,2.0,5,0.08,0.5950520833333333,0.5623139880952381
2,250,450,20,true,0.4,0.02,50.0,0.8,2.0,5,0.1,0.6612723214285714,0.6257440476190477
2,250,450,20,true,0.4,0.02,50.0,0.8,4.0,5,0.0,0.09644717261904767,0.04557291666666663
2,250,450,20,true,0.4,0.02,50.0,0.8,4.0,5,0.02,0.185546875,0.1303013392857143
2,250,450,20,true,0.4,0.02,50.0,0.8,4.0,5,0.04,0.40271577380952384,0.34281994047619047
2,250,450,20,true,0.4,0.02,50.0,0.8,4.0,5,0.06,0.5505022321428572,0.4868861607142857
2,250,450,20,true,0.4,0.02,50.0,0.8,4.0,5,0.08,0.6207217261904762,0.5563616071428572
2,250,450,20,true,0.4,0.02,50.0,0.8,4.0,5,0.1,0.6781994047619048,0.6116071428571428
2,250,450,20,true,0.4,0.02,50.0,0.8,6.0,5,0.0,0.16638764880952384,0.11095610119047616
2,250,450,20,true,0.4,0.02,50.0,0.8,6.0,5,0.02,0.25957961309523814,0.1928013392857143
2,250,450,20,true,0.4,0.02,50.0,0.8,6.0,5,0.04,0.45879836309523814,0.37518601190476186
2,250,450,20,true,0.4,0.02,50.0,0.8,6.0,5,0.06,0.5858444940476191,0.4974888392857143
2,250,450,20,true,0.4,0.02,50.0,0.8,6.0,5,0.08,0.6596912202380952,0.5678013392857143
2,250,450,20,true,0.4,0.02,50.0,0.8,6.0,5,0.1,0.7198660714285714,0.6062127976190477
2,250,450,20,true,0.4,0.02,50.0,0.8,8.0,5,0.0,0.1791294642857143,0.09412202380952384
2,250,450,20,true,0.4,0.02,50.0,0.8,8.0,5,0.02,0.2840401785714286,0.17168898809523814
2,250,450,20,true,0.4,0.02,50.0,0.8,8.0,5,0.04,0.4757254464285714,0.3454241071428571
2,250,450,20,true,0.4,0.02,50.0,0.8,8.0,5,0.06,0.5994233630952381,0.46298363095238093
2,250,450,20,true,0.4,0.02,50.0,0.8,8.0,5,0.08,0.6850818452380952,0.5305059523809523
2,250,450,20,true,0.4,0.02,50.0,0.8,8.0,5,0.1,0.7305617559523809,0.5694754464285714
2,250,450,20,true,0.4,0.02,50.0,0.8,10.0,5,0.0,0.21242559523809523,0.09644717261904767
2,250,450,20,true,0.4,0.02,50.0,0.8,10.0,5,0.02,0.32152157738095233,0.17038690476190477
2,250,450,20,true,0.4,0.02,50.0,0.8,10.0,5,0.04,0.5131138392857143,0.34105282738095233
2,250,450,20,true,0.4,0.02,50.0,0.8,10.0,5,0.06,0.6290922619047619,0.44484747023809523
2,250,450,20,true,0.4,0.02,50.0,0.8,10.0,5,0.08,0.6990327380952381,0.4977678571428571
2,250,450,20,true,0.4,0.02,50.0,0.8,10.0,5,0.1,0.7534412202380952,0.5372953869047619
2,250,450,20,true,0.4,0.02,50.0,0.8,12.0,5,0.0,0.31156994047619047,0.19261532738095233
2,250,450,20,true,0.4,0.02,50.0,0.8,12.0,5,0.02,0.4213169642857143,0.25158110119047616
2,250,450,20,true,0.4,0.02,50.0,0.8,12.0,5,0.04,0.58984375,0.39109002976190477
2,250,450,20,true,0.4,0.02,50.0,0.8,12.0,5,0.06,0.6895461309523809,0.46940104166666663
2,250,450,20,true,0.4,0.02,50.0,0.8,12.0,5,0.08,0.7428385416666667,0.49851190476190477
2,250,450,20,true,0.4,0.02,50.0,0.8,12.0,5,0.1,0.7906436011904762,0.5287388392857143
2,250,450,20,true,0.4,0.02,50.0,0.8,14.0,5,0.0,0.35863095238095233,0.21837797619047616
2,250,450,20,true,0.4,0.02,50.0,0.8,14.0,5,0.02,0.46409970238095233,0.26246279761904767
2,250,450,20,true,0.4,0.02,50.0,0.8,14.0,5,0.04,0.6231398809523809,0.3872767857142857
2,250,450,20,true,0.4,0.02,50.0,0.8,14.0,5,0.06,0.7094494047619048,0.44856770833333337
2,250,450,20,true,0.4,0.02,50.0,0.8,14.0,5,0.08,0.7779947916666666,0.4840959821428571
2,250,450,20,true,0.4,0.02,50.0,0.8,14.0,5,0.1,0.8122209821428572,0.4946986607142857
2,250,450,20,true,0.4,0.02,50.0,0.8,16.0,5,0.0,0.40531994047619047,0.2508370535714286
2,250,450,20,true,0.4,0.02,50.0,0.8,16.0,5,0.02,0.5193452380952381,0.2865513392857143
